rowname,study_id,mcmaster_sample_id,date_collected,study_name,sample_type,date_received,illumina_plate_number,gprep_plate_number,ring_number,colour_combination,date_char,date,season,dietary_season,sample_type_detail,area,territory,birth_year,breeding_status,age,age_fine,sex,species,X,Y,samples,Observed,Shannon,Simpson,julian
KCG104,KCG104,104,2022-09-25,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142821,pbca,25-Sep-22,2022-09-25,fall2022,fall,cloacal swab tip,reivo,oldmabuse,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.1863,65.76023,KCG104,55,1.830188,0.73653695,268
KCG105,KCG105,105,2022-09-25,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142823,gay#,25-Sep-22,2022-09-25,fall2022,fall,cloacal swab tip,reivo,oldmabuse,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.1863,65.76023,KCG105,104,2.4330049,0.86805355,268
KCG106,KCG106,106,2022-08-06,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142852,gaog,06-Aug-22,2022-08-06,fall2022,fall,cloacal swab tip,reivo,basilika,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.07787,65.79812,KCG106,13,2.3698553,0.89190947,218
KCG107,KCG107,107,2022-08-06,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142754,ppca,06-Aug-22,2022-08-06,fall2022,fall,cloacal swab tip,reivo,basilika,2021,non-breeder,adult,adult,NA,Perisoreus infaustus,19.07787,65.79812,KCG107,123,3.1950376,0.84931668,218
KCG108,KCG108,108,2022-08-02,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5138211,oaor,02-Aug-22,2022-08-02,fall2022,fall,cloacal swab tip,reivo,lagerplats,2014,breeder,adult,adult,m,Perisoreus infaustus,19.12373,65.77143,KCG108,35,1.2139742,0.46834833,214
KCG109,KCG109,109,2022-08-18,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5142882,gays,18-Aug-22,2022-08-18,fall2022,fall,faeces,reivo,guorbatjakka,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.05471,65.79365,KCG109,45,2.7012568,0.85071391,230
KCG110,KCG110,110,2022-08-02,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142833,gaoy,02-Aug-22,2022-08-02,fall2022,fall,cloacal swab tip,reivo,lagerplats,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.12373,65.77143,KCG110,11,2.3474337,0.90022676,214
KCG111,KCG111,111,2022-08-18,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5152140,bsma,18-Aug-22,2022-08-18,fall2022,fall,cloacal swab tip,reivo,fello,2010,breeder,adult,adult,NA,Perisoreus infaustus,19.04327,65.81245,KCG111,23,1.5708575,0.64552872,230
KCG112,KCG112,112,2022-08-18,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142865,papy,18-Aug-22,2022-08-18,fall2022,fall,cloacal swab tip,reivo,fello,NA,breeder,adult,adult,NA,Perisoreus infaustus,19.04327,65.81245,KCG112,85,2.6795126,0.84419858,230
KCG113,KCG113,113,2022-08-18,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142874,gapy,18-Aug-22,2022-08-18,fall2022,fall,cloacal swab tip,reivo,angel,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.11709,65.80823,KCG113,101,4.2587792,0.98173463,230
KCG114,KCG114,114,2022-08-18,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142871,garc,18-Aug-22,2022-08-18,fall2022,fall,cloacal swab tip,reivo,folkes,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.0979,65.8102,KCG114,87,1.5641733,0.59022453,230
KCG115,KCG115,115,2022-08-06,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142854,gayy,06-Aug-22,2022-08-06,fall2022,fall,cloacal goop,managed,ostraguortes,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.09834,65.69105,KCG115,352,2.0179699,0.57067308,218
KCG116,KCG116,116,2023-03-10,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5152957,gbas,10-Mar-23,2023-03-10,winter2023,winter,faeces,managed,doubletop,2013,breeder,adult,adult,f,Perisoreus infaustus,19.17721,65.65864,KCG116,74,1.647586,0.62384963,69
KCG118,KCG118,118,2023-03-14,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5138736,aryy,14-Mar-23,2023-03-14,winter2023,winter,faeces,managed,flarkmyran,2016,breeder,adult,adult,NA,Perisoreus infaustus,19.16553,65.64811,KCG118,73,2.445468,0.86131766,73
KCG119,KCG119,119,2023-03-14,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5139855,yoap,14-Mar-23,2023-03-14,winter2023,winter,faeces,managed,akkatop,2016,breeder,adult,adult,NA,Perisoreus infaustus,19.19755,65.65517,KCG119,65,1.3240684,0.60325924,73
KCG120,KCG120,120,2023-03-17,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142144,mamw,17-Mar-23,2023-03-17,winter2023,winter,cloacal swab tip,managed,maskapie,2020,breeder,adult,adult,f,Perisoreus infaustus,19.19712,65.67529,KCG120,38,1.6103812,0.63824332,76
KCG121,KCG121,121,2023-03-19,Perisoreus_infaustus_microbiome,faeces,2024-01-19,LR492,manual,5142819,gab#,19-Mar-23,2023-03-19,winter2023,winter,faeces,reivo,spang,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.095,65.80376,KCG121,82,1.8644941,0.70254948,78
KCG124,KCG124,124,2023-03-20,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5138211,oaor,20-Mar-23,2023-03-20,winter2023,winter,cloacal goop,reivo,lagerplats,2014,breeder,adult,adult,m,Perisoreus infaustus,19.12373,65.77143,KCG124,122,1.9871449,0.72932807,79
KCG125,KCG125,125,2023-03-21,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142782,yao(m),21-Mar-23,2023-03-21,winter2023,winter,cloacal goop,managed,knott,2019,breeder,adult,adult,NA,Perisoreus infaustus,19.23334,65.68531,KCG125,67,1.7775283,0.75084678,80
KCG127,KCG127,127,2023-03-21,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142840,mssa,21-Mar-23,2023-03-21,winter2023,winter,cloacal goop,managed,saketorp,2020,breeder,adult,adult,NA,Perisoreus infaustus,19.22588,65.67573,KCG127,99,2.4731147,0.77780934,80
KCG128,KCG128,128,2023-03-22,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142275,arsm,22-Mar-23,2023-03-22,winter2023,winter,cloacal goop,reivo,madervagen,2018,breeder,adult,adult,NA,Perisoreus infaustus,19.01987,65.78256,KCG128,55,2.2282457,0.80428793,81
KCG130,KCG130,130,2023-03-25,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142205,yars,25-Mar-23,2023-03-25,winter2023,winter,cloacal goop,managed,ostraguortes,2018,breeder,adult,adult,NA,Perisoreus infaustus,19.09834,65.69105,KCG130,66,1.8211729,0.77117708,84
KCG132,KCG132,132,2023-03-27,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5139873,wpap,27-Mar-23,2023-03-27,winter2023,winter,cloacal goop,reivo,granmyran,2017,breeder,adult,adult,NA,Perisoreus infaustus,19.16709,65.77498,KCG132,85,1.8895972,0.70019012,86
KCG134,KCG134,134,2023-03-27,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142894,gapm,27-Mar-23,2023-03-27,winter2023,winter,cloacal swab tip,reivo,granmyran,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.16709,65.77498,KCG134,32,0.1476457,0.0398486,86
KCG135,KCG135,135,2023-03-29,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142773,prca,29-Mar-23,2023-03-29,winter2023,winter,cloacal goop,managed,ragangen,2021,breeder,adult,adult,NA,Perisoreus infaustus,19.12972,65.67143,KCG135,32,1.3990685,0.65453589,88
